code,title,section,class,subclass
A01N,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF (preservation of food or foodstuff A23); BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES (preparations for medical, dental or toilet purposes which kill or prevent the growth or proliferation of unwanted organisms A61K); PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS",A,1,N
A01P,"BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS",A,1,P
A21B,"BAKERS' OVENS; MACHINES OR EQUIPMENT FOR BAKING (domestic baking equipment A47J37/00; combustion apparatus F23; domestic stoves or ranges being wholly or partly ovens F24B, F24C)",A,21,B
A21C,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; HANDLING BAKED ARTICLES MADE FROM DOUGH,A,21,C
A21D,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS; BAKING; BAKERY PRODUCTS; PRESERVATION THEREOF",A,21,D
A22B,SLAUGHTERING,A,22,B
A22C,"PROCESSING MEAT, POULTRY, OR FISH (preserving A23B; obtaining protein compositions for foodstuffs A23J1/00; fish, meat or poultry preparations A23L; disintegrating, e.g. chopping meat, B02C18/00; preparation of proteins C07K1/00)",A,22,C
A23B,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS; CHEMICAL RIPENING OF FRUIT OR VEGETABLES; THE PRESERVED, RIPENED, OR CANNED PRODUCTS",A,23,B
A23C,"DAIRY PRODUCTS, e.g. MILK, BUTTER OR CHEESE; MILK OR CHEESE SUBSTITUTES; MAKING THEREOF (obtaining protein compositions for foodstuffs A23J1/00)",A,23,C
A23D,"EDIBLE OILS OR FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS (animal feeding-stuffs A23K10/00-A23K20/30, A23K30/00-A23K50/90; foods or foodstuffs containing edible oils or fats A21D, A23C, A23G, A23L; obtaining, refining, preserving C11B, C11C; hydrogenation C11C3/12)",A,23,D
A23F,"COFFEE; TEA; THEIR SUBSTITUTES; MANUFACTURE, PREPARATION, OR INFUSION THEREOF",A,23,F
A23G,"COCOA; COCOA PRODUCTS, e.g. CHOCOLATE; SUBSTITUTES FOR COCOA OR COCOA PRODUCTS; CONFECTIONERY; CHEWING GUM; ICE-CREAM; PREPARATION THEREOF",A,23,G
A23J,PROTEIN COMPOSITIONS FOR FOODSTUFFS; WORKING-UP PROTEINS FOR FOODSTUFFS; PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS,A,23,J
A23K,FODDER,A,23,K
A23L,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A21D OR A23B-A23J; THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT (shaping or working, not fully covered by this subclass, A23P); PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL",A,23,L
A23N,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR; PEELING VEGETABLES OR FRUIT IN BULK; APPARATUS FOR PREPARING ANIMAL FEEDING- STUFFS (machines for cutting straw or fodder A01F29/00; disintegrating, e.g. shredding, B02C; severing, e.g. cutting, splitting, slicing B26B, B26D)",A,23,N
A23P,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS",A,23,P
A23V,"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES",A,23,V
A23Y,INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION,A,23,Y
A24B,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING; TOBACCO; SNUFF,A,24,B
A24C,MACHINES FOR MAKING CIGARS OR CIGARETTES,A,24,C
A24D,CIGARS; CIGARETTES; TOBACCO SMOKE FILTERS; MOUTHPIECES FOR CIGARS OR CIGARETTES; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES,A,24,D
A24F,"SMOKERS' REQUISITES; MATCH BOXES; SIMULATED SMOKING DEVICES (inhaling appliances for medical purposes, shaped like cigars, cigarettes or pipes A61M15/06)",A,24,F
A41B,SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS,A,41,B
A41C,CORSETS; BRASSIERES,A,41,C
A41D,OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES,A,41,D
A41F,GARMENT FASTENINGS; SUSPENDERS,A,41,F
A41G,ARTIFICIAL FLOWERS; WIGS; MASKS; FEATHERS,A,41,G
A41H,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR (machines, appliances, or methods for making particular articles of apparel, see the relevant groups for these articles in A41BÂ -Â A41F; cutting tools or machines in general B26; weaving, braiding, lace-making, knitting, tufting, treating of textiles D03Â -Â D06; sewing-machines, sewing appliances, seam-ripping devices D05B; cutting or otherwise severing textile materials D06H7/00)",A,41,H
A42B,HATS; HEAD COVERINGS (headbands A41D20/00; head-scarves A41D23/00),A,42,B
A42C,"MANUFACTURING OR TRIMMING HEAD COVERINGS, e.g. HATS",A,42,C
A43B,CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR,A,43,B
A43C,FASTENINGS OR ATTACHMENTS OF FOOTWEAR; LACES IN GENERAL,A,43,C
A43D,"MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR",A,43,D
A44B,"BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE (fastenings specially adapted for footwear A43C)",A,44,B
A44C,"PERSONAL ADORNMENTS, e.g. JEWELLERY; COINS",A,44,C
A44D,"INDEXING SCHEME RELATING TO BUTTONS, PINS, BUCKLES OR SLIDE FASTENERS, AND TO JEWELLERY, BRACELETS OR OTHER PERSONAL ADORNMENTS",A,44,D
A45B,"WALKING STICKS (walking aids, e.g. sticks, for blind persons A61H3/06); UMBRELLAS; LADIES' OR LIKE FANS (cane or umbrella stands or holders A47G25/12)",A,45,B
A45C,PURSES; LUGGAGE; HAND CARRIED BAGS,A,45,C
A45D,"HAIRDRESSING OR SHAVING EQUIPMENT (wigs, toupees, or the like A41G3/00, A41G5/00; hairdressers' chairs A47C1/04; hair cutting appliances, razors B26B); EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS, e.g. FOR MANICURING OR PEDICURING",A,45,D
A45F,TRAVELLING OR CAMP EQUIPMENT: SACKS OR PACKS CARRIED ON THE BODY,A,45,F
A46B,BRUSHES (handles not integral with brushware B25G),A,46,B
A46D,MANUFACTURE OF BRUSHES,A,46,D
A47B,TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE (furniture jointing F16B),A,47,B
A47C,CHAIRS (seats specially adapted for vehicles B60N2/00); SOFAS; BEDS (upholstery in general B68G),A,47,C
A47D,"FURNITURE SPECIALLY ADAPTED FOR CHILDREN (school benches or desks A47B39/00, A47B41/00)",A,47,D
A47F,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS OR THE LIKE; PAYING COUNTERS",A,47,F
A47G,HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B5/00; knives B26B),A,47,G
A47H,FURNISHINGS FOR WINDOWS OR DOORS (concerned with the functioning of the door or window E05; roller blinds E06B),A,47,H
A47J,KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES,A,47,J
A47K,"SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR (connecting to water supply or waste pipe, sinks E03C; water-closets E03D); TOILET ACCESSORIES (cosmetic equipment A45D)",A,47,K
A47L,DOMESTIC WASHING OR CLEANING (brushes A46B; cleaning quantities of bottles or of other hollow articles of one kind B08B9/00; laundry D06F); SUCTION CLEANERS IN GENERAL (cleaning in general B08),A,47,L
A61B,"DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)",A,61,B
A61C,"DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B; {tongue scrapers A61B17/24;} preparations for dentistry A61K6/00; preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00)",A,61,C
A61D,"VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS",A,61,D
A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)",A,61,F
A61G,"TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)",A,61,G
A61H,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY (electrotherapy, magnetotherapy, radiation therapy, ultrasound therapy A61N)",A,61,H
A61J,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE,A,61,J
A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)",A,61,K
A61L,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agent employed A01N; preserving, e.g. sterilising, food or foodstuffs A23; preparations for medical, dental or toilet purposes A61K; preparation of ozone C01B13/10)",A,61,L
A61M,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {(Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021)}",A,61,M
A61N,"ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B18/00; anaesthetic apparatus in general A61M; incandescent lamps H01K; infra-red radiators for heating H05B)",A,61,N
A61P,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS,A,61,P
A61Q,SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS,A,61,Q
A62B,"DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING (valves specially adapted for medical use A61M39/00; life-saving devices, apparatus or methods specially adapted for use in water B63C9/00; divers' equipment B63C11/00; specially adopted for use with aircraft, e.g. parachutes, ejector seats, {B64D17/00, B64D25/10}; rescue devices peculiar to mining E21F11/00)",A,62,B
A62C,"FIRE-FIGHTING (fire-extinguishing compositions, use of chemical substances in extinguishing fires A62D1/00; spraying, applying liquids or other fluent materials to surfaces in general B05; alarm arrangements G08B, e.g. fire alarms actuated by smoke or gases G08B17/10)",A,62,C
A62D,CHEMICAL MEANS FOR EXTINGUISHING FIRES OR FOR COMBATING OR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS; CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS,A,62,D
A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT (apparatus for passive exercising, massage A61H)",A,63,B
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE (water skis B63B32/00, B63B34/00)",A,63,C
A63D,"BOWLING GAMES, e.g. SKITTLES, BOCCE OR BOWLS; INSTALLATIONS THEREFOR; BAGATELLE OR SIMILAR GAMES; BILLIARDS (balls A63B37/00)",A,63,D
A63F,"CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR",A,63,F
A63G,MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES; CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT,A,63,G
A63H,"TOYS, e.g. TOPS, DOLLS, HOOPS OR BUILDING BLOCKS",A,63,H
A63J,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE; CONJURING APPLIANCES OR THE LIKE",A,63,J
A63K,RACING; RIDING SPORTS; EQUIPMENT OR ACCESSORIES THEREFOR (stop watches G04F7/06; timing G07C1/22; indicating arrangements for variable information by selection or combination of individual elements G09F9/00),A,63,K
A99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION,A,99,Z
B01B,BOILING; BOILING APPARATUS {; EVAPORATION; EVAPORATION APPARATUS},B,1,B
B01D,"SEPARATION (separating solids from solids by wet methods B03B, B03D; by pneumatic jigs or tables B03B; by other dry methods B07; magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields B03C; centrifuges, vortex apparatus B04; presses per se for squeezing-out liquid from liquid-containing material B30B9/02; treatment of water C02F, e.g. softening by ion-exchange C02F1/42; {arrangements of air intake cleaners in gas turbine plants F02C7/05} ; arrangements or mounting of filters in air-conditioning, air-humidification or ventilation F24F13/28)",B,1,D
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING (mixing paints B44D3/06)",B,1,F
B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS",B,1,J
B01L,"CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE (apparatus for medical or pharmaceutical purposes A61; apparatus for industrial purposes or laboratory apparatus whose construction and performance are comparable to that of similar industrial apparatus, see the relevant classes for industrial apparatus, particularly subclasses of B01 and C12; separating or distilling apparatus B01D; mixing or stirring devices B01F; atomisers B05B; {vibrating devices, e.g. shaking tables,} sieves B07B; corks, bungs B65D; handling liquids in general B67; vacuum pumps F04; siphons F04F10/00; taps, stop-cocks F16K; tubes, tube joints F16L; apparatus specially adapted for investigating or analysing materials G01, particularly G01N; electrical or optical apparatus, see the relevant classes in Sections G and H)",B,1,L
B02B,PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE (making dough from cereals directly A21C; preservation or sterilisation of cereals A23B; cleaning fruit A23N; preparation of malt C12C),B,2,B
B02C,"CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL; MILLING GRAIN ({household tools and machines for pulverising foodstuffs, e.g. coffee and spice mills A47J42/00; pharmaceutical mortars A61J3/02; mechanical processing of refuse and garbage B03B9/06; dressing mould materials by grinding B22C5/04}; obtaining metallic powder by crushing, grinding or milling B22F9/04; {recovery of plastics by disintegrating B29B17/00; crushing raw materials in starch making C08B30/02; beaters for papermaking D21D1/02; crushing devices specially for transport in mines E21F13/002; slag crushing devices F23J1/00; fuel milling devices in combustion apparatus F23K1/00; household devices for crushing coal F24B15/02; ice disintegrating devices F25C5/02})",B,2,C
B03B,"SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS (removing fluids from solids B01D; magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high voltage electric fields B03C; flotation differential sedimentation B03D; separating by dry methods B07; screening or sifting B07B; by picking B07C; separating peculiar to particular materials and provided for in other single classes, see the relevant classes)",B,3,B
B03C,"MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS (filters making use of electricity or magnetism B01D35/06; separating isotopes B01D59/00; combinations of magnetic or electrostatic separation with separation of solids by other means B03B, B07B; separating sheets from piles B65H3/00; magnets or magnet coils per se H01F)",B,3,C
B03D,"FLOTATION; DIFFERENTIAL SEDIMENTATION (sedimentation in general B01D21/00; in combination with other separation of solids B03B; sink-float separation B03B5/28; detergents, soaps C11D)",B,3,D
B04B,"CENTRIFUGES (high-speed drum mills B02C19/11; domestic spin driers D06F; analysing, measuring or monitoring physical or chemical properties of samples during centrifuging, see the relevant subclasses for these procedures, e.g. G01N)",B,4,B
B04C,"APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES ({centrifugal separation of water from steam B01D45/12;} jet mills B02C19/06; {wind sifters B07B7/00;} cyclonic type combustion apparatus F23; {vortex burners for cyclone-type combustion apparatus F23D1/02; cyclonic type combustion apparatus for gas turbines F23R3/00})",B,4,C
B05B,"SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES ({sprayers or atomisers specially adapted for therapeutic purposes A61M11/00;} spray-mixers with nozzles B01F25/72; processes for applying liquids or other fluent materials to surfaces by spraying B05D {; nozzles specially adapted for injection moulding of plastics or substances in a plastic state B29C45/1603, B29C45/20; nozzles specially adapted for windscreen washers B60S1/52}; means for pumping fluids F04; valves, e.g. water-taps, F16K)",B,5,B
B05C,"APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL (spraying apparatus, atomising apparatus, nozzles B05B; plant for applying liquids or other fluent materials to objects by electrostatic spraying B05B5/08)",B,5,C
B05D,"PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL (conveying articles or workpieces through baths of liquid B65G, e.g. B65G49/02)",B,5,D
B06B,"METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY, {e.g.} FOR PERFORMING MECHANICAL WORK IN GENERAL (for particular applications, see the relevant subclasses, e.g. B07B1/40, B23Q17/12, B24B31/06; measurement of mechanical vibrations G01H; in direction finding, locating, distance or velocity measuring G01S; {generating seismic energy G01V1/02}; control of mechanical vibrations in general G05D; sound-producing devices, e.g. bells, sirens, whistles G10K, {e.g. methods or devices for transmitting, conducting, or directing sound in general G10K11/00}; generation of electrical oscillations H03B; electromechanical resonators in general H03H; electromechanical transducers {for communication techniques, e.g. microphones, speakers} H04R)",B,6,B
B07B,"SEPARATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, SIFTING OR BY USING GAS CURRENTS; SEPARATING BY OTHER DRY METHODS APPLICABLE TO BULK MATERIAL, e.g. LOOSE ARTICLES FIT TO BE HANDLED LIKE BULK MATERIAL (wet separating processes, sorting by processes using fluent material in the same way as liquid B03; combinations of dry separating apparatus with wet separating apparatus B03B; using liquids B03B, B03D; sorting by magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high voltage electric fields B03C; centrifuges or vortex apparatus for carrying out physical processes B04; hand sorting, postal sorting, sorting by switching or other devices actuated in response to detection or measurement of some feature of articles or samples of material B07C)",B,7,B
B07C,"POSTAL SORTING; SORTING INDIVIDUAL ARTICLES, OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL, e.g. BY PICKING (specially adapted for a specific purpose covered by another class, see the relevant place, e.g. A43D33/06, B23Q7/12)",B,7,C
B08B,"CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL (brushes A46; devices for domestic or like cleaning A47L; {cleaning golf-clubs or golf accessories A63B57/60; cleaning grips of bats on rackets A63B60/36} ; separation of particles from liquids or gases B01D; separation of solids B03, B07; spraying or applying liquids or other fluent materials to surfaces in general B05; cleaning devices for conveyors B65G45/10; concurrent cleaning, filling and closing of bottles B67C7/00; inhibiting corrosion or incrustation in general C23; cleaning streets, permanent ways, beaches or land E01H; parts, details or accessories of swimming or splash baths or pools, specially adapted for cleaning E04H4/16; preventing or removing electrostatic charges H05F)",B,8,B
B09B,DISPOSAL OF SOLID WASTE,B,9,B
B09C,"RECLAMATION OF CONTAMINATED SOIL (gatherers for removing stone or the like from the soil A01B43/00; sterilising soil by steam A01G11/00; removing undesirable matter, e.g. rubbish, from the land E01H15/00)",B,9,C
B21B,"ROLLING OF METAL (auxiliary operations used in connection with metal-working operations covered in B21, see B21C; bending by rolling B21D; manufacture of particular objects, e.g. screws, wheels, rings, barrels, balls, by rolling B21H; pressure welding by means of a rolling mill B23K20/04)",B,21,B
B21C,"MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES OR PROFILES, OTHERWISE THAN BY ROLLING; AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL",B,21,C
B21D,"WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL (working or processing of wire B21F)",B,21,D
B21F,"WORKING OR PROCESSING OF METAL WIRE ({reducing diameter by} rolling of metal B21B; by drawing, auxiliary operations used in connection with metal-working without essentially removing material B21C; bundling articles B65B13/00)",B,21,F
B21G,"MAKING NEEDLES, PINS OR NAILS OF METAL",B,21,G
B21H,"MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS (essentially from sheet metal B21D)",B,21,H
B21J,"FORGING; HAMMERING; PRESSING METAL; RIVETING; FORGE FURNACES (rolling of metal B21B; making particular products by forging or pressing B21K; cladding or plating B23K; finishing surfaces by hammering B23P9/04; compacting surfaces by blasting with particulate material B24C1/10; general features of presses, presses for consolidating scrap B30B; furnaces in general F27)",B,21,J
B21K,"MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS (making particular articles by working sheet metal without essentially removing material B21D; processing wire B21F; making pins, needles or nails B21G; making particular articles by rolling B21H; forging machines, pressing machines, hammering machines, in general B21J; making chains B21L; plating B23K)",B,21,K
B21L,MAKING METAL CHAINS (making chains or chain links by casting B22D25/02; chains in general F16G),B,21,L
B22C,FOUNDRY MOULDING (moulding refractory materials in general B28B),B,22,C
B22D,"CASTING OF METALS; CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES (shaping of plastics or substances in a plastic state B29C; metallurgical processing, selection of substances to be added to metal C21, C22)",B,22,D
B22F,WORKING METALLIC POWDER; MANUFACTURE OF ARTICLES FROM METALLIC POWDER; MAKING METALLIC POWDER (making alloys by powder metallurgy C22C); APPARATUS OR DEVICES SPECIALLY ADAPTED FOR METALLIC POWDER,B,22,F
B23B,TURNING; BORING (arrangements for copying or controlling B23Q),B,23,B
B23C,MILLING (broaching B23D; broach-milling in making gears B23F; arrangement for copying or controlling B23Q),B,23,C
B23D,"PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL, NOT OTHERWISE PROVIDED FOR (making toothed gears or the like B23F; cutting metal by applying heat locally B23K; arrangements for copying or controlling B23Q)",B,23,D
B23F,"MAKING GEARS OR TOOTHED RACKS (by stamping B21D; by rolling B21H; by forging or pressing B21K; by casting B22; arrangements for copying or controlling B23Q; machines or devices for grinding or polishing, in general B24B)",B,23,F
B23G,"THREAD CUTTING; WORKING OF SCREWS, BOLT HEADS, OR NUTS, IN CONJUNCTION THEREWITH (making helical grooves by turning B23B5/48, by milling B23C3/32, by forging, pressing, or hammering B21K1/56, by grinding B24B19/02; arrangements for copying or controlling B23Q; thread-forming by corrugating tubes B21D15/04, by rolling B21H3/02)",B,23,G
B23H,"WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL; SUCH WORKING COMBINED WITH OTHER FORMS OF WORKING OF METAL (processes for the electrolytic or electrophoretic production of coatings, electroforming, or apparatus therefor C25D; processes for the electrolytic removal of material from objects C25F; manufacturing printed circuits using precipitation techniques to apply the conductive material to form the desired conductive pattern H05K3/18)",B,23,H
